breed,breed_suffix,replicate_num,n_founders,n_males,n_females,total_alleles,alleles_per_locus,expected_heterozygosity,observed_heterozygosity,effective_alleles,fis,fis_global,mean_outlier_index,mean_internal_relatedness,mean_avg_genetic_relatedness
Standard Poodle,sp,37,200,100,100,284,8.6061,0.70616,0.68742,3.7995,0.02525,0.02653,0.26038,0.02791,-0.019227
Standard Poodle,sp,38,200,100,100,278,8.4242,0.70389,0.69439,3.779,0.01545,0.0135,0.28012,0.01469,-0.011911
Standard Poodle,sp,39,200,100,100,275,8.3333,0.70789,0.69924,3.8192,0.01378,0.01222,0.26647,0.01303,-0.009633
Standard Poodle,sp,40,200,100,100,275,8.3333,0.70798,0.69015,3.8418,0.02691,0.02518,0.295,0.02616,-0.015922
Standard Poodle,sp,41,200,100,100,270,8.1818,0.70321,0.685,3.7759,0.0284,0.0259,0.29508,0.02771,-0.016239
Standard Poodle,sp,42,200,100,100,278,8.4242,0.70168,0.68985,3.7295,0.01688,0.01686,0.29315,0.0184,-0.012233
Standard Poodle,sp,43,200,100,100,278,8.4242,0.7138,0.70242,3.8892,0.01554,0.01594,0.30554,0.0172,-0.011238
Standard Poodle,sp,44,200,100,100,278,8.4242,0.70511,0.69621,3.7683,0.01212,0.01261,0.2895,0.01411,-0.010775
Standard Poodle,sp,45,200,100,100,272,8.2424,0.70638,0.69364,3.8017,0.01936,0.01804,0.31666,0.01909,-0.012059
Standard Poodle,sp,46,200,100,100,278,8.4242,0.70573,0.69258,3.7779,0.02028,0.01864,0.32298,0.01967,-0.012993
Standard Poodle,sp,47,200,100,100,276,8.3636,0.70898,0.68773,3.834,0.0322,0.02997,0.28693,0.0314,-0.01886
Standard Poodle,sp,48,200,100,100,282,8.5455,0.71158,0.69879,3.8536,0.01889,0.01798,0.2924,0.01944,-0.01295
Standard Poodle,sp,49,200,100,100,280,8.4848,0.70222,0.685,3.7414,0.02593,0.02452,0.28403,0.02584,-0.015054
Standard Poodle,sp,50,200,100,100,277,8.3939,0.70817,0.70076,3.8158,0.01186,0.01046,0.30775,0.01148,-0.008314
