study_code,mcb_pct,oi,agr
SP366,51.66,0.2909,0.0297
SP367,38.0,0.1939,-0.0199
SP368,28.91,0.4216,-0.1005
SP369,38.6,0.3409,-0.0996
SP370,35.81,0.4018,-0.0148
SP371,20.44,0.5318,-0.1279
SP372,58.04,0.2156,0.0056
SP373,60.9,0.2366,0.0338
SP374,45.07,0.1623,0.0714
SP375,32.14,0.3887,-0.0723
SP376,51.65,0.2674,0.0051
SP377,27.25,0.4172,-0.1128
SP378,73.29,0.1459,0.0578
SP379,17.49,0.582,-0.1865
SP380,71.83,0.2341,0.0019
SP381,25.17,0.2088,0.0066
SP382,23.24,0.4313,-0.1196
SP383,66.96,0.2629,0.0244
SP384,46.89,0.2121,-0.0694
SP385,62.05,0.2054,-0.0006
SP386,68.76,0.3614,-0.0253
SP387,72.28,0.2118,0.0062
SP388,49.81,0.2958,-0.0815
SP389,54.49,0.1296,0.0292
SP390,38.48,0.3675,-0.0909
SP391,23.39,0.3755,-0.0991
SP392,54.4,0.202,0.0098
SP393,25.17,0.2121,-0.0259
SP394,40.26,0.2861,-0.0382
SP395,40.26,0.2958,-0.0138
SP396,12.37,0.3466,-0.1483
SP397,43.61,0.3259,-0.0517
SP398,44.2,0.2652,-0.0548
SP399,13.46,0.4782,-0.1215
SP400,63.78,0.3352,-0.1074
SP401,68.48,0.3055,0.0015
SP402,50.77,0.2529,0.0173
SP403,42.71,0.3736,-0.0571
SP404,47.85,0.1317,0.1063
SP405,54.4,0.3207,-0.0227
SP406,62.4,0.1879,0.0495
SP407,54.59,0.2193,0.0097
SP408,33.62,0.3755,-0.0888
SP409,56.79,0.1848,0.0467
SP410,43.98,0.4538,-0.105
SP411,16.18,0.5636,-0.1226
SP412,60.96,0.2529,-0.0036
SP413,74.55,0.1296,0.0581
SP414,83.53,0.0795,0.0058
SP415,63.62,0.2366,-0.0239
SP416,30.4,0.1758,-0.0138
SP417,30.91,0.257,-0.0518
SP418,70.81,0.2407,0.0067
SP419,64.55,0.1848,-0.0173
SP420,81.28,0.1909,0.0646
SP421,34.06,0.2341,-0.0073
SP422,67.49,0.2156,-0.0566
SP423,43.48,0.4018,-0.0715
SP424,66.34,0.1677,0.0603
SP425,54.88,0.1338,0.0612
SP426,19.87,0.6399,-0.1664
SP427,49.32,0.2667,-0.0464
SP428,74.6,0.1705,0.0449
SP429,65.65,0.2996,-0.0241
SP430,73.29,0.2585,-0.0199
SP431,39.63,0.2718,-0.0554
SP432,45.7,0.2629,-0.0162
SP433,23.24,0.447,-0.2456
SP434,31.16,0.6189,-0.1186
SP435,32.22,0.2807,-0.0681
SP436,31.69,0.2996,-0.0705
SP437,64.73,0.1531,0.0756
SP438,42.16,0.3636,-0.0466
SP439,55.83,0.1275,-0.0486
SP440,25.17,0.3887,-0.0889
SP441,59.24,0.1296,0.0677
SP442,59.24,0.1296,0.0966
SP443,68.4,0.115,0.041
SP444,62.17,0.1818,-0.114
SP445,68.13,0.1919,-0.0211
SP446,53.89,0.1483,0.0637
SP447,59.64,0.1987,-0.0032
SP448,78.06,0.1507,0.0654
SP449,33.94,0.3466,-0.0244
SP450,61.89,0.2054,-0.0255
SP451,68.53,0.165,0.0279
SP452,41.51,0.223,0.0592
SP453,42.83,0.2763,-0.0535
SP454,34.13,0.2629,-0.0269
SP455,65.09,0.2088,0.057
SP456,40.82,0.3352,-0.0808
SP457,34.13,0.3259,-0.0724
SP458,49.32,0.4018,-0.066
SP459,42.09,0.2341,-0.0016
SP460,60.19,0.1677,0.0614
SP461,31.69,0.2861,-0.0526
SP462,48.09,0.2585,-0.0172
SP463,77.58,0.1818,0.0004
SP464,53.8,0.2193,0.0037
SP465,48.87,0.2054,-0.0163
SP466,31.2,0.6294,-0.1053
SP467,62.42,0.1097,0.0448
SP468,39.63,0.3417,-0.1118
SP469,77.93,0.097,0.0218
SP470,23.24,0.2611,-0.076
SP471,55.38,0.1115,0.0574
SP472,68.7,0.1705,0.0316
SP473,35.93,0.3006,0.0064
SP474,83.53,0.0807,0.0053
SP475,66.46,0.165,0.0373
SP476,27.6,0.2121,0.0384
SP477,43.17,0.4773,-0.0721
SP478,63.63,0.1732,0.0585
SP479,54.22,0.2155,0.0377
SP480,17.3,0.5025,-0.1647
SP481,52.71,0.1507,0.0233
SP482,52.3,0.3006,-0.0054
SP483,30.06,0.2996,-0.0203
SP484,70.16,0.2054,0.0452
SP485,82.03,0.097,0.0067
SP486,40.5,0.1879,-0.0009
SP487,70.46,0.1317,0.042
SP488,11.49,0.7125,-0.204
SP489,56.57,0.2304,-0.0485
SP490,68.49,0.2088,0.0641
SP491,58.21,0.1338,0.0561
SP492,66.47,0.2448,0.0207
SP493,58.65,0.223,-0.0008
SP494,66.37,0.1788,0.0456
SP495,48.49,0.2529,-0.0485
SP496,61.8,0.1732,0.0345
SP497,72.32,0.1186,0.0425
SP498,42.81,0.2054,0.0298
SP499,74.39,0.1097,0.0605
SP500,44.17,0.2267,-0.0266
SP501,62.33,0.2448,0.0382
SP502,36.78,0.2529,0.0121
SP503,71.55,0.1732,0.0767
SP504,41.43,0.1705,0.0562
SP505,35.72,0.2585,-0.008
SP506,35.6,0.4545,-0.0853
SP507,31.29,0.3859,-0.0954
SP508,59.55,0.2585,0.0002
SP509,44.42,0.2121,-0.0164
SP510,50.26,0.1909,-0.0341
SP511,27.87,0.2812,-0.0093
SP512,55.94,0.2054,0.0408
SP513,74.61,0.1879,0.0122
SP514,57.17,0.2267,-0.0257
SP515,33.62,0.2674,-0.0525
SP516,64.21,0.2407,0.0288
SP517,40.57,0.2909,-0.0417
SP518,74.64,0.2267,0.0013
SP519,42.71,0.2379,-0.1363
SP520,17.03,0.3887,-0.0694
SP521,63.9,0.0955,0.0555
SP522,69.2,0.2958,-0.0292
SP523,33.94,0.2529,-0.0652
SP524,59.29,0.1623,0.053
SP525,68.96,0.1909,0.0079
SP526,50.62,0.2304,0.006
SP527,66.9,0.0795,0.0367
SP528,75.85,0.0795,0.0195
SP529,23.24,0.3821,-0.083
SP530,65.95,0.2193,0.0103
SP531,65.51,0.1186,0.0237
SP532,75.0,0.2366,-0.0607
SP533,69.2,0.1705,0.0021
SP534,68.57,0.1435,0.0551
SP535,34.13,0.3614,-0.0913
SP536,64.7,0.2156,-0.014
SP537,58.13,0.2193,0.028
SP538,45.33,0.2996,-0.0047
SP539,55.26,0.254,0.0207
SP540,59.43,0.3409,-0.0703
SP541,64.61,0.1705,0.0966
SP542,77.49,0.0955,0.0822
SP543,56.24,0.2448,-0.0265
SP544,65.0,0.2407,0.0632
SP545,34.8,0.392,-0.1132
SP546,54.29,0.1677,0.0382
SP547,64.22,0.1818,0.0554
SP548,72.82,0.165,0.0678
SP549,63.04,0.2121,-0.0105
SP550,26.92,0.3049,-0.0642
SP551,44.92,0.2629,0.0265
SP552,38.63,0.2304,-0.0617
SP553,31.29,0.4455,-0.1411
SP554,54.29,0.2054,-0.0179
SP555,38.77,0.4384,-0.0596
SP556,26.32,0.47,-0.0893
SP557,52.05,0.1296,0.0352
SP558,47.87,0.1483,-0.0017
SP559,59.24,0.097,0.1045
SP560,58.42,0.1317,0.0385
SP561,37.21,0.3259,-0.0351
SP562,55.26,0.2861,-0.0771
SP563,27.69,0.4018,-0.0954
SP564,58.23,0.1531,0.0973
SP565,25.17,0.2488,-0.0243
SP566,31.53,0.254,-0.0388
SP567,35.88,0.3736,-0.0691
SP568,32.22,0.2304,-0.0259
SP569,38.63,0.2341,-0.0082
SP570,55.1,0.2958,0.0336
SP571,55.1,0.2341,0.0041
SP572,55.67,0.1732,0.0315
SP573,41.65,0.2629,0.0329
SP574,35.53,0.3006,-0.0587
SP575,25.17,0.2852,-0.0203
SP576,67.71,0.3207,0.0
SP577,47.71,0.2958,0.0194
SP578,68.65,0.1677,0.0143
SP579,28.22,0.2488,-0.0699
SP580,72.32,0.2121,-0.0212
SP581,34.63,0.1459,0.0014
SP582,55.42,0.1848,0.026
